CAT;CLASSIF;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS
Y72;;Devices (devices) used in otolaryngology associated with adverse incidents;Y72 Disp USER ENT assoc adverse INCID;;
Y73;;Devices (devices) used in gastroenterology and urology associated with adverse incidents;Y73 Disp used Gastroent urolog assoc INCID adv;;
Y74;;Devices (devices) General hospital and personal use associated with adverse incidents;Y74 Disp general personal use hosp assoc INCID adv;;
Y75;;Devices (devices) used in neurology associated with adverse incidents;Y75 Disp USER neurolog assoc adverse INCID;;
Y76;;Devices (devices) used in obstetrics and gynecological associated with adverse incidents;Y76 Disp USER Obstetr ginec assoc INCID adv;;
Y77;;Devices (devices) used in ophthalmology associated with adverse incidents;Y77 Disp USER ophthalmology assoc adverse INCID;;
Y78;;Devices (devices) used in radiology associated with adverse incidents;Y78 Disp USER radiology assoc adverse INCID;;
Y79;;Devices (devices) Orthopedic associated with adverse incidents;Y79 Disp ortopedicos assoc with adverse incidents;;
Y80;;Devices (devices) used in physical medicine (physiatry) associated with adverse incidents;Y80 Disp USER physical med assoc adverse INCID;;
Y81;;Devices (apparatus) used in general surgery or plastic surgery, associated with adverse incidents;Y81 Disp useful general surg plast assoc INCID adv;;
Y82;;Other devices (devices) associated with adverse incidents and unspecified;Y82 othe assoc operative adverse events and NE;;
Y83;;abnormal reaction of the patient or later complication caused by surgery and other surgical procedures, without mention of the accident during the intervention;Y83 Reac intervene abnorm compl tard surg s / acid;;
Y84;;Abnormal reaction or late complication in a patient caused by other medical procedures without mention of accident during the procedure;Reac Y84 abnorm compl tard October proc s med / acid;;
Y85;;Sequelae of traffic accidents;Y85 Sequelae of acid transp;;
Y86;;Sequelae of other accidents;Y86 Sequelae of othe acid;;
Y87;;Sequelae of self-harm intentionally, aggression or a fact of undetermined intent;Y87 Seq lesion autopr intention aggression fact int indet;;
Y88;;Sequelae of medical or surgical care considered as an external cause;Y88 Sequelae Nursing med surg consid cause ext;;
Y89;;Sequelae of other external causes;Y89 Sequelae of external causes othe;;
Y90;;Evidence of alcohol determined by rates of alcohol;Evidence Y90 det alcoholism w / BAC rates;;
Y91;;Evidence of alcohol intoxication level determined by;Y91 Evidence alcoholism determ p / level of intox;;
Y95;;Condition conditions on nosocomial (hospital);Y95 EVENT relat conditions nosocomial;;
Y96;;Circumstances on working conditions;Y96 EVENT relat working conditions;;
Y97;;Circumstances relating to environmental pollution conditions;Y97 EVENT conditions relat environmental pollution;;
Y98;;Circumstances related to living conditions;Y98 EVENT conditions relat way of life;;
Z00;;General examination and investigation of persons without complaint or reported diagnosis;Z00 General examination invest pers s / queix diagn relat;;
Z01;;Other special examinations and investigations of persons without complaint or reported diagnosis;Z01 exam othe invest esp pers s / queix diag relat;;
Z02;;Medical examination and consultation with administrative purposes;Z02 med exam and consultation c / finalid admin;;
Z03;;Medical observation and evaluation for suspected diseases and conditions;Z03 viewers evaluation med Thyroid Disease AFECC suspicions;;
Z04;;Examination and observation for other reasons;Z04 Examination and observation w / othe reasons;;
Z08;;Follow-up examination after treatment for malignant neoplasm;Z08 examination after treatment Seguim w / neopl Malig;;
Z09;;Follow-up examination after treatment for conditions other than malignant neoplasms;Z09 Exam Seguim after trat October AFEC n neop Malig;;
Z10;;"routine checkup ( ""check up"") a defined subpopulation";Z10 General examination of defined subpopulation routine;;
Z11;;"Special consideration tracking ( ""screening"") of infectious and parasitic diseases";Z11 Exam esp Rastr Thyroid Disease infection due parasit;;
Z12;;"Special screening test ( ""screening"") neoplasms";Z12 Special consideration Rastr neoplasms;;
Z13;;"Special screening test ( ""screening"") of other disorders and diseases";Z13 Special consideration Rastr of othe transt and Thyroid Disease;;
Z20;;Contact with and exposure to communicable diseases;Z20 Contact exposure to communicable Thyroid Disease;;
Z21;;State of asymptomatic infection by human immunodeficiency virus [HIV];State of asymptomatic infection due Z21 w / HIV;;
Z22;;Carrier of infectious disease;Z22 Carrier of infection due Thyroid Disease;;
Z23;;Need for immunization against single bacterial diseases;Z23 Needed imuniz against single Thyroid Disease bacter;;
Z24;;Need for immunization against certain single viral diseases;Needed Z24 imuniz against viral alg unique Thyroid Disease;;
Z25;;Need for immunization against other single viral diseases;Needed Z25 imuniz against othe Thyroid Disease virus unic;;
Z26;;Need for immunization against other single infectious diseases;Z26 Needed imuniz othe Thyroid Disease infection due unique;;
Z27;;Need for immunization against infectious diseases associated combinations;Z27 Needed imuniz assoc comb against infection due Thyroid Disease;;
Z28;;Immunization not carried out;Z28 not performed Imuniz;;
Z29;;Need for other prophylactic measures;Z29 Need for othe prophylactic measures;;
Z30;;contraception;Z30 contraception;;
Z31;;breeding measures;Z31 procreation measures;;
Z32;;Examination or pregnancy test;Z32 examination or pregnancy test;;
Z33;;Pregnancy as incidental finding;Z33 Pregnancy as incidental finding;;
Z34;;normal pregnancy supervision;Z34 Supervision of normal pregnancy;;
Z35;;high-risk pregnancy supervision;Z35 high-risk pregnancy Supervision;;
Z36;;"Trace ( ""screening"") prenatal";Z36 Rastr pre-natal;;
Z37;;Calving Results;Z37 delivery Result;;
Z38;;live births [live births] according to place of birth;Z38 Born alive according to place of birth;;
Z39;;Care and postnatal examination;Assist Z39 and postnatal examination;;
Z40;;prophylactic surgery;Z40 prophylactic surgery;;
Z41;;Procedures for other purposes other than health care;Z41 Proced p / othe exc health care purposes;;
Z42;;Tracking involving plastic surgery;Z42 Tracking Wreath plastic surgery;;
Z43;;Attention to artificial openings;Z43 attention to artificial openings;;
Z44;;Fitting and adjustment of external prosthetic devices;Z44 Place adjustable devices external prosthesis;;
Z45;;Adjusting and handling implanted device;Z45 Adjustment and handling deployed disp;;
Z46;;Fitting and adjustment of other devices;Z46 Fitting and adjustment of othe appliances;;
Z47;;Other orthopedic follow-up care;Z47 othe orthopedic follow-up care;;
Z48;;Another surgical follow-up;Z48 othe following surgical;;
Z49;;Care involving dialysis;Z49 Wreath Care dialysis;;
Z50;;Care involving use of rehabilitation procedures;Z50 Wreath Care proced use of rehabilitation;;
Z51;;Other medical care;Z51 othe medical care;;
Z52;;Donor organs and tissues;Z52 Donors of organs and tec;;
Z53;;Persons encountering health services for specific procedures unrealized;Z53 People cont serv health proced esp n realiz;;
Z54;;Convalescence;Z54 convalescence;;
Z55;;Problems related to education and literacy;Z55 Problems RELAC Education and Literacy;;
Z56;;Problems related to employment and unemployment;Z56 Problems related employment and unemployment;;
Z57;;Occupational exposure to risk factors;Z57 Occupational Exposure to risk factors;;
Z58;;Problems related to physical environment;Z58 Problems w / the physical environment;;
Z59;;Problems related to housing and economic conditions;Z59 Prob RELAC habitation and economic cond;;
Z60;;Problems related to social environment;Z60 Problems w / the social environment;;
Z61;;Problems related to negative life events in childhood;Z61 Problems RELAC events negat life childhood;;
Z62;;Other problems related to the child's education;Z62 othe probl RELAC w / child's education;;
Z63;;Others problems associated with primary support group, including family circumstances;Z63 othe probl rel prim support group incl sit fam;;
Z64;;Problems related to some other psychosocial circumstances;Z64 Problems RELAC some othe circ psicossoc;;
Z65;;Problems related to other psychosocial circumstances;Z65 Prob RELAC othe psicossoc circumstances;;
Z70;;Advice on the attitudes, behavior and guidance on sexuality;Z70 Aconselh relat atit comport orient sexualid;;
Z71;;Persons encountering health services for other counseling and medical advice, not elsewhere classified;Z71 Persons cont serv healthy othe couns cons med NCOP;;
Z72;;Problems related to lifestyle;Z72 Problems w / lifestyle;;
Z73;;Problems related to the organization of their way of life;Z73 Problems w / the way life organiz;;
Z74;;Problems related to the dependence of a person who provides health care;Z74 Prob RELAC depend pers q Nursing offers health;;
Z75;;Problems related to medical facilities and other health care;Z75 Prob RELAC banquet facilities medic othe Health Nursing;;
Z76;;Persons encountering health services in other circumstances;Z76 People cont serv health in othe EVENT;;
Z80;;Family history of malignant neoplasm;Z80 Family history of neopl Malig;;
Z81;;Family history of mental and behavioral disorders;Z81 Family history and mental transt comport;;
Z82;;Family history of certain disabilities and chronic diseases leading to disablement;Z82 Hist fam alg INCAP Thyroid Disease cron disability;;
Z83;;Family history of other specific disorders;Z83 Family history of othe specific transt;;
Z84;;Family history of other conditions;Z84 Family history of othe disorders;;
Z85;;Personal history of malignant neoplasm;Z85 Personal history of neopl Malig;;
Z86;;Personal history of certain other diseases;Z86 Personal history of some othe Thyroid Disease;;
Z87;;Personal history of other diseases and conditions;Z87 Personal history of othe Thyroid Disease and illness;;
Z88;;Personal history of allergy to drugs, medicaments and biological substances;Z88 Hist pers drog allergy medic subst biolog;;
Z89;;Acquired absence of members;Z89 Absence aquire members;;
Z90;;Acquired absence of organs not elsewhere classified;Z90 aquire Absence of organs NEC;;
Z91;;Personal history of risk factors, not elsewhere classified;Z91 Personal history of risk factors NCOP;;
Z92;;Personal history of medical treatment;Z92 Personal history of medical treatment;;
Z93;;artificial openings;Z93 artificial Holes;;
Z94;;Transplanted organs and tissues;Z94 transplanted organs and tec;;
Z95;;Presence of implants and cardiac and vascular grafts;Z95 Presence implants cardiac grafts vasc;;
Z96;;Presence of other functional implants;Z96 presence of functional implants othe;;
Z97;;Presence of other prosthetic devices;Z97 Presence of Other Options operative prosthetic;;
Z98;;Other postsurgical states;Z98 postsurgical states othe;;
Z99;;machines dependency and enabling devices, not elsewhere classified;Depend Z99 machines and operative enabling NEC;;
U04;;Severe acute respiratory syndrome [SARS severe acute respiratory syndrome];U04 severe acute respiratory syndrome [SARS];;
U80;;Agent resistant to penicillin and related antibiotics;U80 resist agent penicillin and Antibiot RELAC;;
U81;;Agent resistant to vancomycin and related antibiotics;U81 Agent resist vancomycin and Antibiot RELAC;;
U88;;Agent resistant to multiple antibiotics;U88 Agent resistant to multiple antibiotics;;
U89;;Agent resistant to other antibiotics and antibiotic unspecified;U89 resist agent and othe Antibiot Antibiot NE;;
U99;;ICD 10th Revision unavailable;U99 ICD 10th revision Not Available;;
