SUBCAT;CLASSIF;RESTRSEXO;CAUSAOBITO;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS
X122;;;;Contact with other hot liquids - schools, other institutions and areas of public administration;X12.2 Schools othe instit admin public areas
x123;;;;Contact with other hot liquids - area for sports and athletics;X12.3 Area w / the practice of sports and athletics
x124;;;;Contact with other hot liquids - Street and highway;Street and highway X12.4
X125;;;;Contact with other hot liquids - trade and service areas;X12.5 trade Areas and services
X126;;;;Contact with other hot liquids - industrial areas and construction;X12.6 Industrial Areas and construction
x127;;;;Contact with other hot liquids - farm;X12.7 Farm
X128;;;;Contact with other hot liquids - other specified locations;X12.8 othe specific locations
x129;;;;Contact with other hot fluids - unspecified location;X12.9 Place NE
X130;;;;Contact with steam and hot vapors - Residence;X13.0 Residencia
x131;;;;Contact with steam and hot vapors - tenement;X13.1 collective Habitacao
X132;;;;Contact with steam and hot vapors - schools, other institutions and areas of public administration;X13.2 Schools othe instit admin public areas
x133;;;;Contact with steam and hot vapors - area for sports and athletics;X13.3 Area w / the practice of sports and athletics
x134;;;;Contact with steam and hot vapors - Street and highway;Street and highway X13.4
x135;;;;Contact with steam and hot vapors - trade and service areas;X13.5 trade Areas and services
x136;;;;Contact with steam and hot vapors - industrial areas and construction;X13.6 Industrial Areas and construction
x137;;;;Contact with steam and hot vapors - farm;X13.7 Farm
X138;;;;Contact with steam and hot vapors - other specified locations;X13.8 othe specific locations
x139;;;;Contact with steam and hot vapors - unspecified location;X13.9 Place NE
X140;;;;Contact with air and hot gases - Residence;X14.0 Residencia
x141;;;;Contact with air and hot gases - tenement;X14.1 collective Habitacao
X142;;;;Contact with air and hot gases - schools, other institutions and areas of public administration;X14.2 Schools othe instit admin public areas
x143;;;;Contact with air and hot gases - area for sports and athletics;X14.3 Area w / the practice of sports and athletics
x144;;;;Contact with air and hot gases - street and road;Street and highway X14.4
X145;;;;Contact with air and hot gases - trade and service areas;X14.5 trade Areas and services
x146;;;;Contact with air and hot gases - industrial areas and construction;X14.6 Industrial Areas and construction
x147;;;;Contact with air and hot gases - Farm;X14.7 Farm
x148;;;;Contact with air and hot gases - other specified locations;X14.8 othe specific locations
x149;;;;Contact with air and hot gases - unspecified location;X14.9 Place NE
X150;;;;Contact with hot household appliances - Residence;X15.0 Residencia
X151;;;;Contact with hot household appliances - tenement;X15.1 collective Habitacao
X152;;;;Contact with hot household appliances - schools, other institutions and areas of public administration;X15.2 Schools othe instit admin public areas
x153;;;;Contact with hot household appliances - area for sports and athletics;X15.3 Area w / the practice of sports and athletics
X154;;;;Contact with hot household appliances - street and road;Street and highway X15.4
X155;;;;Contact with hot household appliances - trade and service areas;X15.5 trade Areas and services
X156;;;;Contact with hot household appliances - industrial areas and construction;X15.6 Industrial Areas and construction
x157;;;;Contact with hot household appliances - farm;X15.7 Farm
X158;;;;Contact with hot household appliances - other specified locations;X15.8 othe specific locations
x159;;;;Contact with hot household appliances - unspecified location;X15.9 Place NE
X160;;;;Contact heaters, radiators and pipe - Residence;X16.0 Residencia
x161;;;;Contact heaters, radiators and pipe - tenement;X16.1 collective Habitacao
x162;;;;Contact heaters, radiators and pipe - schools, other institutions and areas of public administration;X16.2 Schools othe instit admin public areas
x163;;;;Contact heaters, radiators and pipe - area for sports and athletics;X16.3 Area w / the practice of sports and athletics
X164;;;;Contact heaters, radiators and pipe - Street and highway;Street and highway X16.4
x165;;;;Contact heaters, radiators and pipe - trade and service areas;X16.5 trade Areas and services
X166;;;;Contact heaters, radiators and piping - industrial areas and construction;X16.6 Industrial Areas and construction
x167;;;;Contact heaters, radiators and pipe - farm;X16.7 Farm
X168;;;;Contact heaters, radiators and pipe - other specified locations;X16.8 othe specific locations
x169;;;;Contact heaters, radiators and pipe - unspecified location;X16.9 Place NE
X170;;;;Contact motors, machine tools and hot - Residence;X17.0 Residencia
X171;;;;Contact motors, machine tools and hot - tenement;X17.1 collective Habitacao
x172;;;;Contact engines, machines and hot tools - schools, other institutions and areas of public administration;X17.2 Schools othe instit admin public areas
X173;;;;Contact engines, machines and hot tools - area for sports and athletics;X17.3 Area w / the practice of sports and athletics
X174;;;;Contact motors, machine tools and hot - Street and highway;Street and highway X17.4
x175;;;;Contact engines, machines and hot tools - trade and service areas;X17.5 trade Areas and services
x176;;;;Contact engines, machines and hot tools - industrial areas and construction;X17.6 Industrial Areas and construction
x177;;;;Contact engines, machines and hot tools - farm;X17.7 Farm
x178;;;;Contact engines, machines and hot tools - other specified locations;X17.8 othe specific locations
X179;;;;Contact motors, machine tools and hot - unspecified location;X17.9 Place NE
X180;;;;Contact with other hot metals - Residence;X18.0 Residencia
X181;;;;Contact with other hot metals - tenement;X18.1 collective Habitacao
x182;;;;Contact with other hot metals - schools, other institutions and areas of public administration;X18.2 Schools othe instit admin public areas
x183;;;;Contact with other hot metals - area for sports and athletics;X18.3 Area w / the practice of sports and athletics
X184;;;;Contact with other hot metals - street and road;Street and highway X18.4
X185;;;;Contact with other hot metals - trade and service areas;X18.5 trade Areas and services
X186;;;;Contact with other hot metals - industrial areas and construction;X18.6 Industrial Areas and construction
x187;;;;Contact with other hot metals - farm;X18.7 Farm
x188;;;;Contact with other hot metals - other specified locations;X18.8 othe specific locations
x189;;;;Contact with other hot metals - unspecified location;X18.9 Place NE
X190;;;;Contact other heat sources or unspecified hot substances - Residence;X19.0 Residencia
x191;;;;Contact with other heat sources, or unspecified hot substances - tenement;X19.1 collective Habitacao
x192;;;;Contact with other heat sources, or unspecified hot substances - schools, other institutions and areas of public administration;X19.2 Schools othe instit admin public areas
x193;;;;Contact with other heat sources, or unspecified hot substances - area for sports and athletics;X19.3 Area w / the practice of sports and athletics
x194;;;;Contact with other heat sources, or unspecified hot substances - street and road;Street and highway X19.4
x195;;;;Contact with other heat sources, or unspecified hot substances - trade and service areas;X19.5 trade Areas and services
x196;;;;Contact with other sources of heat or hot substances unspecified - industrial areas and construction;X19.6 Industrial Areas and construction
x197;;;;Contact with other sources of heat and hot substances not specified - farm;X19.7 Farm
